-- SG    KRG    KROG   PCOG
SGOF
0.32040816 0.12119306 0.50708767 0.07674623
0.32959184 0.12884599 0.49465601 0.07738385
0.33877551 0.13665355 0.48232764 0.07803762
0.34795918 0.14461273 0.47010343 0.07870825
0.35714286 0.15272071 0.45798427 0.07939648
0.36632653 0.16097480 0.44597108 0.08010307
0.37551020 0.16937245 0.43406480 0.08082888
0.38469388 0.17791126 0.42226641 0.08157478
0.39387755 0.18658892 0.41057690 0.08234172
0.40306122 0.19540326 0.39899728 0.08313070
0.41224490 0.20435217 0.38752863 0.08394281
0.42142857 0.21343368 0.37617201 0.08477919
0.43061224 0.22264587 0.36492855 0.08564108
0.43979592 0.23198691 0.35379940 0.08652980
0.44897959 0.24145504 0.34278574 0.08744678
0.45816327 0.25104860 0.33188879 0.08839354
0.46734694 0.26076594 0.32110983 0.08937174
0.47653061 0.27060553 0.31045015 0.09038315
0.48571429 0.28056586 0.29991111 0.09142969
0.49489796 0.29064548 0.28949410 0.09251344
0.50408163 0.30084299 0.27920058 0.09363667
0.51326531 0.31115706 0.26903203 0.09480184
0.52244898 0.32158637 0.25899002 0.09601161
0.53163265 0.33212967 0.24907616 0.09726890
0.54081633 0.34278574 0.23929212 0.09857693
0.55000000 0.35355339 0.22963966 0.09993918
0.55918367 0.36443149 0.22012060 0.10135951
0.56836735 0.37541892 0.21073682 0.10284218
0.57755102 0.38651460 0.20149032 0.10439187
0.58673469 0.39771749 0.19238315 0.10601380
0.59591837 0.40902658 0.18341748 0.10771375
0.60510204 0.42044086 0.17459559 0.10949820
0.61428571 0.43195940 0.16591985 0.11137438
0.62346939 0.44358124 0.15739277 0.11335042
0.63265306 0.45530548 0.14901700 0.11543552
0.64183673 0.46713123 0.14079530 0.11764009
0.65102041 0.47905763 0.13273063 0.11997599
0.66020408 0.49108384 0.12482611 0.12245681
0.66938776 0.50320902 0.11708504 0.12509816
0.67857143 0.51543240 0.10951096 0.12791816
0.68775510 0.52775317 0.10210764 0.13093789
0.69693878 0.54017057 0.09487910 0.13418209
0.70612245 0.55268387 0.08782967 0.13768004
0.71530612 0.56529233 0.08096404 0.14146663
0.72448980 0.57799523 0.07428726 0.14558388
0.73367347 0.59079189 0.06780483 0.15008289
0.74285714 0.60368161 0.06152276 0.15502657
0.75204082 0.61666374 0.05544765 0.16049333
0.76122449 0.62973761 0.04958683 0.16658246
0.77040816 0.64290259 0.04394842 0.17342177
0.77959184 0.65615806 0.03854158 0.18117914
0.78877551 0.66950339 0.03337668 0.19008025
0.79795918 0.68293799 0.02846564 0.20043692
0.80714286 0.69646128 0.02382233 0.21269468
0.81632653 0.71007266 0.01946318 0.22751678
0.82551020 0.72377158 0.01540809 0.24594335
0.83469388 0.73755747 0.01168184 0.26972066
0.84387755 0.75142980 0.00831652 0.30206753
0.85306122 0.76538803 0.00535603 0.34978701
0.86224490 0.77943163 0.00286590 0.43085480
0.87142857 0.79356009 0.00096129 0.62010562
0.88061224 0.80777289 0.00000000 300.00000000
